event_date	event_starttime	event_endtime	hpc_coord	hpc_bbox	sg_chirality	sg_orientation	sg_shape	sg_aspectratio	AR_NOAANUM	obs_instrument	SOL_standard
2011-10-11	2011-10-11T04:32:21	2011-10-11T04:32:21	POINT(67.6554 -361.6098)	POLYGON((22.49214 -406.6608,110.5308 -405.957,113.7786 -315.3744,23.15304 -316.0962,22.49214 -406.6608))			Inverse-S Sigmoid	7.12457	0	AIA_1	SOL2011-10-11T04:32:21L120C105
2011-10-11	2011-10-11T04:32:26	2011-10-11T04:32:26	POINT(443.1126 350.5806)	POLYGON((400.0536 309.7758,501.9186 316.251,481.257 390.9804,383.5806 384.7926,400.0536 309.7758))			Inverse-S Sigmoid	17.5548	0	AIA_4	SOL2011-10-11T04:32:26L147C064
2011-10-11	2011-10-11T04:32:26	2011-10-11T04:32:26	POINT(6.11046 -360.5904)	POLYGON((-42.29454 -409.0506,54.28938 -408.981,56.0115 -310.7448,-43.63614 -310.8162,-42.29454 -409.0506))			Inverse-S Sigmoid	38.9835	0	AIA_4	SOL2011-10-11T04:32:26L116C105
2011-10-11	2011-10-11T06:02:26	2011-10-11T06:02:26	POINT(9.89922 -361.7988)	POLYGON((-40.15038 -411.897,59.56632 -411.7806,61.533 -310.2138,-41.47602 -310.3332,-40.15038 -411.897))			Inverse-S Sigmoid	50.4514	0	AIA_4	SOL2011-10-11T06:02:26L115C105
2011-10-11	2011-10-11T06:32:21	2011-10-11T06:32:21	POINT(516.0066 -339.2334)	POLYGON((467.5476 -386.3202,547.4922 -380.4816,562.8702 -290.9976,480.6834 -296.9766,467.5476 -386.3202))			Forward-S Sigmoid	47.5099	0	AIA_1	SOL2011-10-11T06:32:21L148C105
2011-10-11	2011-10-11T07:02:21	2011-10-11T07:02:21	POINT(516.6012 -339.7476)	POLYGON((467.3406 -387.5898,548.5092 -381.6516,564.2124 -290.7174,480.723 -296.8014,467.3406 -387.5898))			Forward-S Sigmoid	7.62341	0	AIA_1	SOL2011-10-11T07:02:21L148C105
2011-10-11	2011-10-11T07:32:26	2011-10-11T07:32:26	POINT(481.563 -338.1624)	POLYGON((427.0182 -391.1058,518.1084 -385.0812,534.3588 -283.7652,440.4156 -289.9512,427.0182 -391.1058))			Inverse-S Sigmoid	16.8007	0	AIA_4	SOL2011-10-11T07:32:26L145C105
2011-10-11	2011-10-11T09:37:21	2011-10-11T09:37:21	POINT(477.0348 349.9098)	POLYGON((434.2116 309.4824,536.166 316.635,514.6842 389.9556,416.8086 383.1126,434.2116 309.4824))			Forward-S Sigmoid	7.466	0	AIA_1	SOL2011-10-11T09:37:21L146C064
2011-10-11	2011-10-11T09:37:26	2011-10-11T09:37:26	POINT(-30.26604 234.378)	POLYGON((-77.0748 188.1588,15.59274 187.83,15.03414 280.2678,-74.3136 280.584,-77.0748 188.1588))			Inverse-S Sigmoid	8.58345	0	AIA_4	SOL2011-10-11T09:37:26L111C070
2011-10-11	2011-10-11T10:42:26	2011-10-11T10:42:26	POINT(567.4326 340.1544)	POLYGON((431.6502 227.262,727.776 254.271,655.02 450.6348,388.452 426.5454,431.6502 227.262))			Forward-S Sigmoid	8.54441	0	AIA_4	SOL2011-10-11T10:42:26L153C065
2011-10-11	2011-10-11T11:42:26	2011-10-11T11:42:26	POINT(566.0538 315.3942)	POLYGON((520.5426 272.9304,627.828 282.4506,605.172 357.558,501.75 348.4128,520.5426 272.9304))			Inverse-S Sigmoid	14.23	0	AIA_4	SOL2011-10-11T11:42:26L152C067
2011-10-11	2011-10-11T12:07:21	2011-10-11T12:07:21	POINT(-13.26264 233.4294)	POLYGON((-65.1828 182.2866,38.20824 182.1258,36.70488 284.1744,-62.6178 284.328,-65.1828 182.2866))			Inverse-S Sigmoid	6.21286	0	AIA_1	SOL2011-10-11T12:07:21L111C070
2011-10-11	2011-10-11T12:07:21	2011-10-11T12:07:21	POINT(131.3712 -363.2448)	POLYGON((80.664 -413.6136,177.012 -412.11,182.8764 -311.4012,83.3364 -312.948,80.664 -413.6136))			Forward-S Sigmoid	7.79226	0	AIA_1	SOL2011-10-11T12:07:21L120C106
2011-10-11	2011-10-11T13:07:21	2011-10-11T13:07:21	POINT(150.5286 -351.0654)	POLYGON((102.6084 -398.6208,193.2948 -397.0014,198.9792 -302.25,105.6258 -303.9096,102.6084 -398.6208))			Forward-S Sigmoid	7.45346	0	AIA_1	SOL2011-10-11T13:07:21L120C105
2011-10-11	2011-10-11T13:42:26	2011-10-11T13:42:26	POINT(81.435 -362.1432)	POLYGON((31.64538 -411.7554,128.1372 -410.829,132.3084 -311.0928,32.67552 -312.045,31.64538 -411.7554))			Inverse-S Sigmoid	8.10627	0	AIA_4	SOL2011-10-11T13:42:26L116C105
2011-10-11	2011-10-11T14:37:21	2011-10-11T14:37:21	POINT(85.0152 -357.4536)	POLYGON((39.61464 -402.6936,127.5786 -401.8134,131.2692 -311.0394,40.76064 -311.9412,39.61464 -402.6936))			Inverse-S Sigmoid	8.29002	0	AIA_1	SOL2011-10-11T14:37:21L115C105
2011-10-11	2011-10-11T15:07:21	2011-10-11T15:07:21	POINT(90.0882 -361.035)	POLYGON((42.1965 -408.7374,134.7354 -407.7546,138.9228 -312.0114,43.50798 -313.0206,42.1965 -408.7374))			Inverse-S Sigmoid	19.7746	0	AIA_1	SOL2011-10-11T15:07:21L115C105
